isco_2digit,wfh_probability_2d,matched_soc_count_2d,total_4digit_codes,is_wfh_binary_2d
1,NA,0,1,NA
2,NA,0,1,NA
3,NA,0,1,NA
11,0.9,20,5,1
12,0.8918918918918919,37,7,1
13,0.6382978723404256,47,14,1
14,0.7727272727272727,22,5,1
21,0.6436781609195402,87,25,1
22,0.10144927536231885,69,15,0
23,0.9661016949152542,59,12,1
24,0.9428571428571428,35,11,1
25,1,36,9,1
26,0.6779661016949152,59,21,1
31,0.14393939393939395,132,27,0
32,0.05660377358490566,53,17,0
33,0.6836734693877551,98,24,1
34,0.5769230769230769,26,11,1
35,0.75,12,6,1
41,1,5,4,1
42,0.2916666666666667,24,12,0
43,0.5263157894736842,19,6,1
44,0.625,16,7,1
51,0.2708333333333333,48,17,0
52,0.2,20,13,0
53,0.3,20,5,0
54,0.1,20,5,0
61,0.18181818181818182,44,9,0
62,0.17857142857142858,28,5,0
63,0,8,4,0
71,0.02702702702702703,37,16,0
72,0,56,13,0
73,0.13793103448275862,29,12,0
74,0,32,5,0
75,0.07317073170731707,41,20,0
81,0,87,26,0
82,0,8,3,0
83,0.23684210526315788,38,11,0
91,0,8,6,0
92,0,12,6,0
93,0.12,25,9,0
94,0,5,2,0
95,0,1,2,0
96,0.25,16,8,0
