"","ddd_age_interacte..","ddd_age_interacte.."
" ","Age-interacted: additive","Age-interacted: cell FE"
"Dependent Var.:","Employed","Employed"
"  "," "," "
"Constant","0.5055*** (0.0280)","  "
"Mother","0.0109 (0.0259)","-0.0192 (0.0229)"
"Post","0.0527*** (0.0150)","0.0533*** (0.0146)"
"WFH_Exposure","-0.0146 (0.0814)","-0.0276 (0.0755)"
"MatzavMishpachti2","0.1451*** (0.0161)","0.1376*** (0.0157)"
"MatzavMishpachti3","0.0327*** (0.0059)","0.0318*** (0.0057)"
"MatzavMishpachti4","0.0123 (0.0114)","0.0108 (0.0117)"
"MatzavMishpachti5","-0.0035 (0.0059)","-0.0016 (0.0061)"
"Dat2","-0.0527*** (0.0134)","-0.0533*** (0.0131)"
"Dat3","-0.3633*** (0.0167)","-0.3470*** (0.0184)"
"Dat4","-0.2787*** (0.0224)","-0.2538*** (0.0247)"
"Dat5","-0.0108 (0.0117)","-0.0110 (0.0116)"
"GilNK4","0.0186 (0.0139)","  "
"GilNK5","0.0112 (0.0125)","  "
"GilNK6","0.0085 (0.0129)","  "
"GilNK7","-0.0600*** (0.0113)","  "
"MachozMegurim2","0.0702*** (0.0138)","  "
"MachozMegurim3","0.0873*** (0.0107)","  "
"MachozMegurim4","0.0997*** (0.0119)","  "
"MachozMegurim5","0.0891*** (0.0131)","  "
"MachozMegurim6","0.0699*** (0.0118)","  "
"MachozMegurim7","0.0782*** (0.0126)","  "
"TeudaGvohaHigh School (no matriculation)","0.1526*** (0.0181)","  "
"TeudaGvohaMatriculation (Bagrut)","0.2055*** (0.0167)","  "
"TeudaGvohaPost-secondary, non-academic","0.2772*** (0.0171)","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.3328*** (0.0202)","  "
"TeudaGvohaOther/No Certificate","0.1654*** (0.0291)","  "
"Mother x Post","0.0063 (0.0202)","0.0041 (0.0200)"
"Mother x WFH_Exposure","-0.1579 (0.1023)","-0.0768 (0.0913)"
"Post x WFH_Exposure","-0.1921** (0.0629)","-0.1896** (0.0610)"
"Mother x GilNK4","-0.0059 (0.0156)","0.0093 (0.0143)"
"Mother x GilNK5","0.0303* (0.0143)","0.0444** (0.0139)"
"Mother x GilNK6","0.0315* (0.0143)","0.0468*** (0.0137)"
"Mother x GilNK7","0.0242 (0.0166)","0.0365* (0.0160)"
"Mother x Post x WFH_Exposure","-0.0331 (0.0890)","-0.0260 (0.0881)"
"Fixed-Effects:","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","Yes"
"________________________________________","___________________","___________________"
"S.E.: Clustered","by: GilNK,TeudaGv..","by: GilNK,TeudaGv.."
"Observations","360,437","360,437"
"R2","0.22085","0.22894"
"Within R2","--","0.07028"
