"","reg_employed"
" ","Employed"
"Dependent Var.:","Employed"
"  "," "
"Constant","0.6300*** (0.0582)"
"Mother","0.0200. (0.0110)"
"Post","0.0601*** (0.0111)"
"MatzavMishpachti2","0.0885* (0.0365)"
"MatzavMishpachti3","0.1619*** (0.0178)"
"MatzavMishpachti4","0.0445* (0.0194)"
"MatzavMishpachti5","0.1007*** (0.0117)"
"Dat2","-0.5668*** (0.0572)"
"Dat3","-0.7260*** (0.0561)"
"Dat4","-0.6642*** (0.0571)"
"GilNK4","0.0508*** (0.0121)"
"GilNK5","0.1089*** (0.0112)"
"GilNK6","0.0769*** (0.0117)"
"GilNK7","-0.0195 (0.0144)"
"MachozMegurim2","0.1934*** (0.0097)"
"MachozMegurim3","0.2043*** (0.0118)"
"MachozMegurim4","0.2474*** (0.0144)"
"MachozMegurim5","0.3749*** (0.0352)"
"MachozMegurim6","0.1272*** (0.0141)"
"TeudaGvohaHigh School (no matriculation)","0.0932*** (0.0107)"
"TeudaGvohaMatriculation (Bagrut)","0.1796*** (0.0091)"
"TeudaGvohaPost-secondary, non-academic","0.3730*** (0.0153)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.5185*** (0.0094)"
"TeudaGvohaOther/No Certificate","-0.0273 (0.0189)"
"Mother x Post","-0.0208 (0.0138)"
"________________________________________","___________________"
"S.E.: Clustered","by: IDPUF"
"Observations","65,598"
"R2","0.24314"
"Adj. R2","0.24286"
