"","reg_employed"
" ","Employed"
"Dependent Var.:","Employed"
"  "," "
"Constant","0.5920*** (0.0119)"
"Mother","0.0054 (0.0045)"
"Post","0.0070 (0.0049)"
"MatzavMishpachti2","-0.0225 (0.0174)"
"MatzavMishpachti3","0.0055 (0.0046)"
"MatzavMishpachti4","-0.0417** (0.0153)"
"MatzavMishpachti5","-0.0293*** (0.0044)"
"GilNK4","-0.0009 (0.0049)"
"GilNK5","0.0188*** (0.0045)"
"GilNK6","0.0309*** (0.0046)"
"GilNK7","-0.0355*** (0.0062)"
"MachozMegurim2","0.0395*** (0.0068)"
"MachozMegurim3","0.0552*** (0.0063)"
"MachozMegurim4","0.0659*** (0.0056)"
"MachozMegurim5","0.0559*** (0.0059)"
"MachozMegurim6","0.0447*** (0.0063)"
"MachozMegurim7","0.0480*** (0.0076)"
"TeudaGvohaHigh School (no matriculation)","0.0978*** (0.0105)"
"TeudaGvohaMatriculation (Bagrut)","0.1599*** (0.0102)"
"TeudaGvohaPost-secondary, non-academic","0.2029*** (0.0103)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.2496*** (0.0099)"
"TeudaGvohaOther/No Certificate","0.1573*** (0.0160)"
"Mother x Post","-0.0041 (0.0058)"
"________________________________________","___________________"
"S.E.: Clustered","by: IDPUF"
"Observations","283,975"
"R2","0.04336"
"Adj. R2","0.04328"
