"","reg_employed"
" ","Employed"
"Dependent Var.:","Employed"
"  "," "
"Constant","0.4926*** (0.0085)"
"Mother","-0.0034 (0.0041)"
"Post","0.0153*** (0.0043)"
"MatzavMishpachti2","0.1186*** (0.0109)"
"MatzavMishpachti3","0.0304*** (0.0043)"
"MatzavMishpachti4","-0.0099 (0.0116)"
"MatzavMishpachti5","-0.0020 (0.0041)"
"Dat2","-0.0547*** (0.0077)"
"Dat3","-0.3588*** (0.0051)"
"Dat4","-0.2852*** (0.0120)"
"Dat5","-0.0073 (0.0080)"
"GilNK4","0.0083. (0.0046)"
"GilNK5","0.0315*** (0.0042)"
"GilNK6","0.0314*** (0.0043)"
"GilNK7","-0.0465*** (0.0056)"
"MachozMegurim2","0.0761*** (0.0056)"
"MachozMegurim3","0.0878*** (0.0056)"
"MachozMegurim4","0.1019*** (0.0050)"
"MachozMegurim5","0.0887*** (0.0054)"
"MachozMegurim6","0.0748*** (0.0057)"
"MachozMegurim7","0.0814*** (0.0072)"
"TeudaGvohaHigh School (no matriculation)","0.1454*** (0.0066)"
"TeudaGvohaMatriculation (Bagrut)","0.1999*** (0.0061)"
"TeudaGvohaPost-secondary, non-academic","0.2712*** (0.0065)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.3211*** (0.0060)"
"TeudaGvohaOther/No Certificate","0.1225*** (0.0122)"
"Mother x Post","-0.0053 (0.0052)"
"________________________________________","___________________"
"S.E.: Clustered","by: IDPUF"
"Observations","364,784"
"R2","0.22689"
"Adj. R2","0.22684"
