"ShnatSeker","Mother","pct_outside","n","MotherLabel"
2017,0,45.0893743793446,20140,"Non-mothers"
2017,1,47.4228228726197,36183,"Mothers"
2018,0,45.5663091812713,19115,"Non-mothers"
2018,1,47.9688291228268,35546,"Mothers"
2019,0,46.0583355632861,18685,"Non-mothers"
2019,1,48.2281253510053,35612,"Mothers"
2021,0,42.150417827298,17950,"Non-mothers"
2021,1,46.7085021476224,32827,"Mothers"
2022,0,43.5883716782593,16821,"Non-mothers"
2022,1,47.6542165538782,30736,"Mothers"
2023,0,46.0389879717959,16877,"Non-mothers"
2023,1,48.3830845771144,30552,"Mothers"
