"","reg_pretrend"
"Dependent Var.:","Employed"
" "," "
"Constant","0.4913*** (0.0092)"
"Mother","0.0007 (0.0057)"
"ShnatSeker = 2017","-0.0017 (0.0061)"
"ShnatSeker = 2018","0.0060 (0.0051)"
"ShnatSeker = 2021","-0.0069 (0.0064)"
"ShnatSeker = 2022","0.0252*** (0.0063)"
"ShnatSeker = 2023","0.0331*** (0.0064)"
"Mother x ShnatSeker = 2017","-0.0056 (0.0074)"
"Mother x ShnatSeker = 2018","-0.0070 (0.0062)"
"Mother x ShnatSeker = 2021","-0.0020 (0.0077)"
"Mother x ShnatSeker = 2022","-0.0106 (0.0076)"
"Mother x ShnatSeker = 2023","-0.0161* (0.0077)"
"MatzavMishpachti2","0.1186*** (0.0109)"
"MatzavMishpachti3","0.0305*** (0.0043)"
"MatzavMishpachti4","-0.0098 (0.0116)"
"MatzavMishpachti5","-0.0021 (0.0041)"
"Dat2","-0.0543*** (0.0077)"
"Dat3","-0.3588*** (0.0051)"
"Dat4","-0.2854*** (0.0120)"
"Dat5","-0.0081 (0.0080)"
"GilNK4","0.0084. (0.0046)"
"GilNK5","0.0317*** (0.0042)"
"GilNK6","0.0313*** (0.0043)"
"GilNK7","-0.0466*** (0.0056)"
"MachozMegurim2","0.0762*** (0.0056)"
"MachozMegurim3","0.0877*** (0.0056)"
"MachozMegurim4","0.1020*** (0.0050)"
"MachozMegurim5","0.0890*** (0.0054)"
"MachozMegurim6","0.0751*** (0.0057)"
"MachozMegurim7","0.0813*** (0.0072)"
"TeudaGvohaHigh School (no matriculation)","0.1457*** (0.0066)"
"TeudaGvohaMatriculation (Bagrut)","0.1999*** (0.0061)"
"TeudaGvohaPost-secondary, non-academic","0.2713*** (0.0065)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.3208*** (0.0059)"
"TeudaGvohaOther/No Certificate","0.1217*** (0.0121)"
"________________________________________","___________________"
"S.E.: Clustered","by: IDPUF"
"Observations","364,784"
"R2","0.22744"
"Adj. R2","0.22737"
