"","ddd_primary_addit..","strict_additive","ddd_primary_fe","strict_fe"
" ","Spec 1: original","Spec 1: furlough-corrected","Spec 2: original","Spec 2: furlough-corrected"
"Dependent Var.:","Employed","Employed_strict","Employed","Employed_strict"
"  "," "," "," "," "
"Constant","0.5058*** (0.0268)","0.5070*** (0.0268)","  ","  "
"Mother","0.0075 (0.0219)","0.0033 (0.0221)","-0.0174 (0.0193)","-0.0216 (0.0196)"
"Post","0.0405** (0.0137)","0.0306* (0.0140)","0.0409** (0.0134)","0.0311* (0.0136)"
"WFH_Exposure","0.0131 (0.0565)","0.0040 (0.0571)","0.0056 (0.0490)","-0.0024 (0.0495)"
"MatzavMishpachti2","0.1421*** (0.0164)","0.1456*** (0.0164)","0.1340*** (0.0157)","0.1377*** (0.0158)"
"MatzavMishpachti3","0.0346*** (0.0061)","0.0350*** (0.0061)","0.0334*** (0.0059)","0.0338*** (0.0059)"
"MatzavMishpachti4","0.0118 (0.0114)","0.0106 (0.0118)","0.0098 (0.0116)","0.0087 (0.0120)"
"MatzavMishpachti5","-0.0022 (0.0058)","-0.0030 (0.0058)","-9.88e-5 (0.0060)","-0.0009 (0.0059)"
"Dat2","-0.0479*** (0.0139)","-0.0441** (0.0140)","-0.0486*** (0.0135)","-0.0448** (0.0136)"
"Dat3","-0.3622*** (0.0177)","-0.3566*** (0.0175)","-0.3455*** (0.0194)","-0.3400*** (0.0192)"
"Dat4","-0.2761*** (0.0231)","-0.2717*** (0.0227)","-0.2503*** (0.0257)","-0.2459*** (0.0254)"
"Dat5","-0.0031 (0.0108)","-0.0031 (0.0111)","-0.0031 (0.0108)","-0.0032 (0.0111)"
"GilNK4","0.0203 (0.0141)","0.0211 (0.0140)","  ","  "
"GilNK5","0.0103 (0.0125)","0.0086 (0.0124)","  ","  "
"GilNK6","0.0110 (0.0130)","0.0084 (0.0131)","  ","  "
"GilNK7","-0.0558*** (0.0114)","-0.0584*** (0.0112)","  ","  "
"MachozMegurim2","0.0690*** (0.0143)","0.0678*** (0.0142)","  ","  "
"MachozMegurim3","0.0847*** (0.0109)","0.0850*** (0.0108)","  ","  "
"MachozMegurim4","0.0970*** (0.0120)","0.0964*** (0.0120)","  ","  "
"MachozMegurim5","0.0853*** (0.0132)","0.0843*** (0.0133)","  ","  "
"MachozMegurim6","0.0698*** (0.0120)","0.0679*** (0.0119)","  ","  "
"MachozMegurim7","0.0783*** (0.0126)","0.0776*** (0.0127)","  ","  "
"TeudaGvohaHigh School (no matriculation)","0.1503*** (0.0184)","0.1487*** (0.0181)","  ","  "
"TeudaGvohaMatriculation (Bagrut)","0.2022*** (0.0170)","0.2011*** (0.0167)","  ","  "
"TeudaGvohaPost-secondary, non-academic","0.2733*** (0.0175)","0.2718*** (0.0172)","  ","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.3270*** (0.0201)","0.3302*** (0.0197)","  ","  "
"TeudaGvohaOther/No Certificate","0.1741*** (0.0302)","0.1709*** (0.0298)","  ","  "
"Mother x Post","0.0065 (0.0168)","0.0041 (0.0166)","0.0044 (0.0166)","0.0017 (0.0164)"
"Mother x WFH_Exposure","-0.1404. (0.0803)","-0.1306 (0.0809)","-0.0818 (0.0702)","-0.0717 (0.0708)"
"Post x WFH_Exposure","-0.1555** (0.0566)","-0.1610** (0.0574)","-0.1516** (0.0554)","-0.1577** (0.0560)"
"Mother x GilNK4","-0.0070 (0.0158)","-0.0086 (0.0159)","0.0083 (0.0145)","0.0070 (0.0144)"
"Mother x GilNK5","0.0311* (0.0144)","0.0329* (0.0144)","0.0453** (0.0141)","0.0468** (0.0143)"
"Mother x GilNK6","0.0301* (0.0142)","0.0329* (0.0144)","0.0447** (0.0138)","0.0476*** (0.0140)"
"Mother x GilNK7","0.0226 (0.0167)","0.0248 (0.0169)","0.0341* (0.0164)","0.0365* (0.0165)"
"Mother x Post x WFH_Exposure","-0.0257 (0.0725)","-0.0150 (0.0715)","-0.0194 (0.0722)","-0.0079 (0.0710)"
"Fixed-Effects:","-------------------","-------------------","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","No","Yes","Yes"
"________________________________________","___________________","___________________","___________________","___________________"
"S.E.: Clustered","by: GilNK,TeudaGv..","by: GilNK,TeudaGv..","by: GilNK,TeudaGv..","by: GilNK,TeudaGv.."
"Observations","355,984","355,984","355,984","355,984"
"R2","0.22103","0.21435","0.22952","0.22269"
"Within R2","--","--","0.07043","0.06671"
