"Post","Mother","WFH_Exposure_Q","n_employed","n_furloughed","rate"
0,0,1,12800,30,0.234375
0,0,2,12033,23,0.191141028837364
0,0,3,11057,28,0.25323324590757
0,0,4,17826,38,0.213171771569617
0,1,1,17776,40,0.225022502250225
0,1,2,26351,64,0.242875033205571
0,1,3,34010,63,0.185239635401353
0,1,4,22035,48,0.21783526208305
1,0,1,10461,190,1.81626995507122
1,0,2,10628,185,1.74068498306361
1,0,3,9327,180,1.92988099067224
1,0,4,14035,162,1.15425721410759
1,1,1,14029,254,1.81053531969492
1,1,2,22937,423,1.84418188952348
1,1,3,29556,449,1.5191500879686
1,1,4,18544,237,1.27804141501294
