"","reg_hours"
" ","WorkHoursCont"
"Dependent Var.:","WorkHoursCont"
"  "," "
"Constant","30.90*** (0.3198)"
"Mother","-2.223*** (0.1485)"
"Post","0.7289*** (0.1503)"
"MatzavMishpachti2","3.174*** (0.3208)"
"MatzavMishpachti3","0.9910*** (0.1584)"
"MatzavMishpachti4","-1.052** (0.3998)"
"MatzavMishpachti5","0.6015*** (0.1463)"
"Dat2","2.253*** (0.2223)"
"Dat3","-1.559*** (0.1576)"
"Dat4","-0.8485* (0.3675)"
"Dat5","1.997*** (0.2746)"
"GilNK4","1.605*** (0.1580)"
"GilNK5","2.364*** (0.1465)"
"GilNK6","2.629*** (0.1504)"
"GilNK7","0.5751** (0.1994)"
"MachozMegurim2","1.978*** (0.1951)"
"MachozMegurim3","2.050*** (0.1987)"
"MachozMegurim4","3.139*** (0.1752)"
"MachozMegurim5","3.096*** (0.1866)"
"MachozMegurim6","2.677*** (0.1956)"
"MachozMegurim7","-0.3399 (0.2661)"
"TeudaGvohaHigh School (no matriculation)","1.531*** (0.2517)"
"TeudaGvohaMatriculation (Bagrut)","3.104*** (0.2394)"
"TeudaGvohaPost-secondary, non-academic","2.622*** (0.2498)"
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.010*** (0.2323)"
"TeudaGvohaOther/No Certificate","1.888*** (0.4735)"
"Mother x Post","0.8261*** (0.1830)"
"________________________________________","__________________"
"S.E.: Clustered","by: IDPUF"
"Observations","281,750"
"R2","0.03836"
"Adj. R2","0.03827"
