"ISCO1","mask_label","mean_wfh","n"
1,"masked",0.148148148148148,27
1,"unmasked",0.129287003610108,4432
2,"masked",0.294685990338164,207
2,"unmasked",0.16029694027323,35428
3,"masked",0.125,16
3,"unmasked",0.136422891409203,15342
4,"masked",0.0625,160
4,"unmasked",0.107414829659319,7485
5,"masked",0,1
5,"unmasked",0.0847939904393353,17572
6,"masked",0,10
6,"unmasked",0.0864197530864197,81
7,"masked",NA,0
7,"unmasked",0.242138364779874,954
8,"masked",NA,0
8,"unmasked",0.0359628770301624,862
9,"masked",0,26
9,"unmasked",0.009470361276745,2851
