"","refweek_reg","share_reg"
" ","Binary: WFH_RefWeek","Continuous: WFH_Share"
"Dependent Var.:","WFH_RefWeek","WFH_Share"
"  "," "," "
"Constant","0.1027*** (0.0212)","0.0720*** (0.0119)"
"WFH_Exposure","0.5152*** (0.1065)","0.2683*** (0.0584)"
"Mother","-0.0048 (0.0252)","0.0032 (0.0144)"
"MatzavMishpachti2","-0.0692*** (0.0145)","-0.0381*** (0.0108)"
"MatzavMishpachti3","-0.0265** (0.0101)","-0.0161* (0.0063)"
"MatzavMishpachti4","-0.0805*** (0.0159)","-0.0464*** (0.0104)"
"MatzavMishpachti5","-0.0073 (0.0117)","-0.0020 (0.0077)"
"Dat2","-0.1539*** (0.0131)","-0.0936*** (0.0082)"
"Dat3","-0.1635*** (0.0102)","-0.0979*** (0.0058)"
"Dat4","-0.1599*** (0.0169)","-0.0929*** (0.0096)"
"Dat5","-0.1061*** (0.0127)","-0.0535*** (0.0082)"
"WFH_Exposure x Mother","0.2228. (0.1269)","0.0991 (0.0700)"
"_____________________","___________________","___________________"
"S.E.: Clustered","by: GilNK,TeudaGv..","by: GilNK,TeudaGv.."
"Observations","110,051","109,946"
"R2","0.03764","0.02252"
"Adj. R2","0.03754","0.02243"
