"","young_fit$additive","young_fit$fe","older_fit$additive","older_fit$fe"
" ","Child <5: additive","Child <5: cell FE","Child 5-17: additive","Child 5-17: cell FE"
"Dependent Var.:","Employed","Employed","Employed","Employed"
"  "," "," "," "," "
"Constant","0.5252*** (0.0277)","  ","0.5099*** (0.0268)","  "
"Mother","-0.0197 (0.0283)","-0.0389 (0.0247)","0.0200 (0.0246)","-0.0035 (0.0235)"
"Post","0.0410** (0.0138)","0.0407** (0.0134)","0.0396** (0.0137)","0.0404** (0.0134)"
"WFH_Exposure","0.0035 (0.0562)","0.0096 (0.0498)","0.0265 (0.0550)","0.0361 (0.0493)"
"MatzavMishpachti2","0.1733*** (0.0182)","0.1637*** (0.0175)","0.1487*** (0.0173)","0.1404*** (0.0165)"
"MatzavMishpachti3","0.0319*** (0.0068)","0.0322*** (0.0065)","0.0341*** (0.0063)","0.0323*** (0.0061)"
"MatzavMishpachti4","0.0268 (0.0164)","0.0262 (0.0164)","0.0047 (0.0118)","0.0033 (0.0120)"
"MatzavMishpachti5","-0.0072 (0.0063)","-0.0057 (0.0065)","-0.0040 (0.0065)","-0.0029 (0.0067)"
"Dat2","-0.0334* (0.0150)","-0.0343* (0.0145)","-0.0385* (0.0165)","-0.0389* (0.0162)"
"Dat3","-0.3581*** (0.0171)","-0.3439*** (0.0184)","-0.3576*** (0.0183)","-0.3383*** (0.0205)"
"Dat4","-0.2730*** (0.0250)","-0.2481*** (0.0270)","-0.2720*** (0.0230)","-0.2446*** (0.0260)"
"Dat5","-0.0069 (0.0124)","-0.0061 (0.0124)","0.0167. (0.0094)","0.0146 (0.0094)"
"GilNK4","0.0182 (0.0142)","  ","0.0223. (0.0130)","  "
"GilNK5","0.0060 (0.0123)","  ","0.0091 (0.0118)","  "
"GilNK6","0.0067 (0.0135)","  ","0.0088 (0.0120)","  "
"GilNK7","-0.0605*** (0.0118)","  ","-0.0562*** (0.0105)","  "
"MachozMegurim2","0.0571*** (0.0144)","  ","0.0524** (0.0158)","  "
"MachozMegurim3","0.0705*** (0.0112)","  ","0.0765*** (0.0121)","  "
"MachozMegurim4","0.0878*** (0.0113)","  ","0.0889*** (0.0126)","  "
"MachozMegurim5","0.0790*** (0.0132)","  ","0.0752*** (0.0134)","  "
"MachozMegurim6","0.0570*** (0.0123)","  ","0.0622*** (0.0125)","  "
"MachozMegurim7","0.0818*** (0.0133)","  ","0.0749*** (0.0144)","  "
"TeudaGvohaHigh School (no matriculation)","0.1381*** (0.0180)","  ","0.1703*** (0.0199)","  "
"TeudaGvohaMatriculation (Bagrut)","0.1924*** (0.0165)","  ","0.2098*** (0.0181)","  "
"TeudaGvohaPost-secondary, non-academic","0.2716*** (0.0168)","  ","0.2739*** (0.0184)","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.3241*** (0.0188)","  ","0.3207*** (0.0213)","  "
"TeudaGvohaOther/No Certificate","0.1671*** (0.0326)","  ","0.1708*** (0.0345)","  "
"Mother x Post","-0.0083 (0.0239)","-0.0040 (0.0238)","0.0147 (0.0187)","0.0095 (0.0181)"
"Mother x WFH_Exposure","-0.0419 (0.1048)","-0.0135 (0.0892)","-0.1579. (0.0863)","-0.1127 (0.0804)"
"Post x WFH_Exposure","-0.1542** (0.0567)","-0.1481** (0.0553)","-0.1511** (0.0563)","-0.1492** (0.0552)"
"Mother x GilNK4","-0.0091 (0.0170)","0.0084 (0.0158)","0.0075 (0.0191)","0.0209 (0.0198)"
"Mother x GilNK5","0.0111 (0.0157)","0.0273. (0.0155)","0.0448** (0.0164)","0.0588*** (0.0175)"
"Mother x GilNK6","-0.0222 (0.0213)","-0.0101 (0.0217)","0.0255 (0.0164)","0.0406* (0.0170)"
"Mother x GilNK7","0.0123 (0.0244)","0.0141 (0.0250)","0.0138 (0.0192)","0.0287 (0.0197)"
"Mother x Post x WFH_Exposure","0.0056 (0.0999)","-0.0150 (0.0998)","-0.0347 (0.0795)","-0.0153 (0.0778)"
"Fixed-Effects:","-------------------","-------------------","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","Yes","No","Yes"
"________________________________________","___________________","___________________","___________________","___________________"
"S.E.: Clustered","by: GilNK,TeudaGv..","by: GilNK,TeudaGv..","by: GilNK,TeudaGv..","by: GilNK,TeudaGv.."
"Observations","229,800","229,800","249,535","249,535"
"R2","0.20125","0.21069","0.23247","0.24154"
"Within R2","--","0.06586","--","0.06989"
