"","single_fit$additive","single_fit$fe","partnered_fit$add..","partnered_fit$fe"
" ","Single mothers: additive","Single mothers: cell FE","Partnered mothers: additive","Partnered mothers: cell FE"
"Dependent Var.:","Employed","Employed","Employed","Employed"
"  "," "," "," "," "
"Constant","0.5343*** (0.0245)","  ","0.5044*** (0.0271)","  "
"Mother","-0.0388 (0.0314)","-0.0602. (0.0319)","0.0104 (0.0235)","-0.0134 (0.0208)"
"Post","0.0383** (0.0136)","0.0385** (0.0133)","0.0406** (0.0138)","0.0409** (0.0134)"
"WFH_Exposure","0.0835 (0.0555)","0.1049* (0.0510)","-0.0159 (0.0558)","-0.0214 (0.0494)"
"MatzavMishpachti2","0.1277*** (0.0169)","0.1228*** (0.0163)","0.2081*** (0.0179)","0.1968*** (0.0169)"
"MatzavMishpachti3","0.0446*** (0.0082)","0.0425*** (0.0079)","0.0383*** (0.0070)","0.0380*** (0.0067)"
"MatzavMishpachti4","0.0045 (0.0131)","0.0044 (0.0132)","0.0281. (0.0163)","0.0245 (0.0163)"
"MatzavMishpachti5","-0.0017 (0.0077)","-0.0005 (0.0079)","-0.0023 (0.0066)","0.0001 (0.0068)"
"Dat2","0.0005 (0.0168)","-0.0007 (0.0163)","-0.0585*** (0.0143)","-0.0585*** (0.0139)"
"Dat3","-0.3243*** (0.0164)","-0.3065*** (0.0178)","-0.3683*** (0.0181)","-0.3513*** (0.0198)"
"Dat4","-0.2431*** (0.0283)","-0.2145*** (0.0288)","-0.2818*** (0.0232)","-0.2556*** (0.0260)"
"Dat5","0.0371*** (0.0109)","0.0341** (0.0110)","-0.0106 (0.0110)","-0.0101 (0.0110)"
"GilNK4","0.0236* (0.0118)","  ","0.0194 (0.0141)","  "
"GilNK5","0.0057 (0.0108)","  ","0.0069 (0.0126)","  "
"GilNK6","0.0070 (0.0112)","  ","0.0085 (0.0135)","  "
"GilNK7","-0.0543*** (0.0100)","  ","-0.0583*** (0.0116)","  "
"MachozMegurim2","0.0064 (0.0144)","  ","0.0751*** (0.0144)","  "
"MachozMegurim3","0.0403*** (0.0099)","  ","0.0883*** (0.0112)","  "
"MachozMegurim4","0.0630*** (0.0093)","  ","0.0984*** (0.0123)","  "
"MachozMegurim5","0.0501*** (0.0110)","  ","0.0875*** (0.0137)","  "
"MachozMegurim6","0.0254* (0.0106)","  ","0.0731*** (0.0122)","  "
"MachozMegurim7","0.0774*** (0.0165)","  ","0.0789*** (0.0129)","  "
"TeudaGvohaHigh School (no matriculation)","0.1625*** (0.0193)","  ","0.1553*** (0.0186)","  "
"TeudaGvohaMatriculation (Bagrut)","0.1944*** (0.0171)","  ","0.2082*** (0.0174)","  "
"TeudaGvohaPost-secondary, non-academic","0.2590*** (0.0176)","  ","0.2807*** (0.0179)","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.2942*** (0.0186)","  ","0.3360*** (0.0208)","  "
"TeudaGvohaOther/No Certificate","0.1546*** (0.0390)","  ","0.1783*** (0.0309)","  "
"Mother x Post","0.0086 (0.0260)","0.0077 (0.0251)","0.0044 (0.0182)","0.0018 (0.0181)"
"Mother x WFH_Exposure","-0.1327 (0.0837)","-0.1148 (0.0871)","-0.1448 (0.0877)","-0.0897 (0.0785)"
"Post x WFH_Exposure","-0.1424* (0.0558)","-0.1399* (0.0547)","-0.1553** (0.0568)","-0.1505** (0.0556)"
"Mother x GilNK4","0.0398 (0.0316)","0.0606. (0.0343)","-0.0094 (0.0162)","0.0068 (0.0144)"
"Mother x GilNK5","0.0688* (0.0270)","0.0930** (0.0287)","0.0329* (0.0150)","0.0471** (0.0146)"
"Mother x GilNK6","0.0726** (0.0269)","0.0919** (0.0284)","0.0310* (0.0150)","0.0460** (0.0143)"
"Mother x GilNK7","0.1246*** (0.0305)","0.1451*** (0.0315)","0.0091 (0.0178)","0.0188 (0.0172)"
"Mother x Post x WFH_Exposure","-0.0688 (0.1076)","-0.0676 (0.1033)","-0.0134 (0.0793)","-0.0051 (0.0792)"
"Fixed-Effects:","-------------------","-------------------","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","Yes","No","Yes"
"________________________________________","___________________","___________________","___________________","___________________"
"S.E.: Clustered","by: GilNK,TeudaGv..","by: GilNK,TeudaGv..","by: GilNK,TeudaGv..","by: GilNK,TeudaGv.."
"Observations","147,634","147,632","331,701","331,701"
"R2","0.19297","0.20336","0.22807","0.23680"
"Within R2","--","0.05456","--","0.07263"
