"","additive","fe"
" ","Hours DDD: additive","Hours DDD: cell FE"
"Dependent Var.:","WorkHoursCont","WorkHoursCont"
"  "," "," "
"Constant","30.78*** (0.7243)","  "
"Mother","-1.591* (0.7118)","-1.759** (0.6574)"
"Post","0.3828 (0.4870)","0.3598 (0.4801)"
"WFH_Exposure","1.070 (1.892)","0.5845 (1.695)"
"MatzavMishpachti2","2.899*** (0.3977)","3.006*** (0.4011)"
"MatzavMishpachti3","0.9793*** (0.1824)","1.005*** (0.1845)"
"MatzavMishpachti4","-1.269** (0.4580)","-1.284** (0.4584)"
"MatzavMishpachti5","0.0770 (0.2308)","0.1859 (0.2122)"
"Dat2","2.089*** (0.3217)","2.071*** (0.3207)"
"Dat3","-1.456*** (0.1975)","-1.425*** (0.2006)"
"Dat4","-0.7742* (0.3112)","-0.6722* (0.3161)"
"Dat5","1.813*** (0.2926)","1.746*** (0.2905)"
"GilNK4","3.036** (0.9458)","  "
"GilNK5","2.646*** (0.7625)","  "
"GilNK6","1.848** (0.6744)","  "
"GilNK7","0.1539 (0.7061)","  "
"MachozMegurim2","2.078*** (0.3029)","  "
"MachozMegurim3","2.140*** (0.3228)","  "
"MachozMegurim4","3.194*** (0.2910)","  "
"MachozMegurim5","3.083*** (0.3690)","  "
"MachozMegurim6","2.767*** (0.3344)","  "
"MachozMegurim7","-0.3154 (0.4836)","  "
"TeudaGvohaHigh School (no matriculation)","1.750*** (0.3687)","  "
"TeudaGvohaMatriculation (Bagrut)","3.325*** (0.3677)","  "
"TeudaGvohaPost-secondary, non-academic","2.835*** (0.3718)","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","5.172*** (0.3393)","  "
"TeudaGvohaOther/No Certificate","2.307*** (0.4646)","  "
"Mother x Post","-0.1503 (0.6047)","-0.0763 (0.6069)"
"Mother x WFH_Exposure","-3.710 (2.459)","-3.713 (2.338)"
"Post x WFH_Exposure","1.063 (1.976)","1.291 (1.972)"
"Mother x GilNK4","-2.056* (0.9937)","-1.456. (0.7775)"
"Mother x GilNK5","-0.4420 (0.8216)","-0.1506 (0.6669)"
"Mother x GilNK6","0.9921 (0.7305)","1.172* (0.5853)"
"Mother x GilNK7","1.209 (0.8316)","1.305. (0.7205)"
"Mother x Post x WFH_Exposure","4.606. (2.636)","4.239 (2.665)"
"Fixed-Effects:","------------------","------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","Yes"
"________________________________________","__________________","__________________"
"S.E.: Clustered","by: GilNK,TeudaG..","by: GilNK,TeudaG.."
"Observations","277,503","277,503"
"R2","0.03935","0.04538"
"Within R2","--","0.01262"
