"","level_reg","dynamic_reg"
" ","Level: WFH_Exposure -> WFH_RefWeek","Dynamic: WFH_Exposure x Year"
"Dependent Var.:","WFH_RefWeek","WFH_RefWeek"
"  "," "," "
"Constant","0.1073*** (0.0207)","0.1073*** (0.0207)"
"WFH_Exposure","0.6557*** (0.0954)","0.6397*** (0.0987)"
"MatzavMishpachti2","-0.0905*** (0.0126)","-0.0906*** (0.0126)"
"MatzavMishpachti3","-0.0381*** (0.0097)","-0.0381*** (0.0096)"
"MatzavMishpachti4","-0.0995*** (0.0166)","-0.0999*** (0.0166)"
"MatzavMishpachti5","-0.0348** (0.0124)","-0.0349** (0.0124)"
"Dat2","-0.1648*** (0.0148)","-0.1646*** (0.0148)"
"Dat3","-0.1643*** (0.0103)","-0.1645*** (0.0103)"
"Dat4","-0.1612*** (0.0167)","-0.1614*** (0.0167)"
"Dat5","-0.1147*** (0.0133)","-0.1149*** (0.0133)"
"WFH_Exposure x ShnatSeker = 2022","  ","0.0118 (0.0194)"
"WFH_Exposure x ShnatSeker = 2023","  ","0.0379. (0.0217)"
"________________________________","___________________","___________________"
"S.E.: Clustered","by: GilNK,TeudaGv..","by: GilNK,TeudaGv.."
"Observations","110,051","110,051"
"R2","0.03515","0.03523"
"Adj. R2","0.03507","0.03514"
