"","phase2_education$..","phase2_education$.."
" ","+EducationSector: additive","+EducationSector: cell FE"
"Dependent Var.:","Employed","Employed"
"  "," "," "
"Constant","0.5016*** (0.0140)","  "
"Mother","0.0130 (0.0134)","0.0100 (0.0132)"
"Post","0.0403** (0.0155)","0.0415** (0.0153)"
"WFH_Exposure","0.0060 (0.0425)","0.0066 (0.0425)"
"MatzavMishpachti2","0.1605*** (0.0107)","0.1541*** (0.0106)"
"MatzavMishpachti3","0.0389*** (0.0053)","0.0369*** (0.0052)"
"MatzavMishpachti4","0.0268. (0.0150)","0.0228 (0.0149)"
"MatzavMishpachti5","0.0051 (0.0051)","0.0067 (0.0051)"
"Dat2","-0.0377*** (0.0090)","-0.0387*** (0.0089)"
"Dat3","-0.3570*** (0.0062)","-0.3412*** (0.0064)"
"Dat4","-0.2614*** (0.0144)","-0.2397*** (0.0143)"
"Dat5","0.0077 (0.0084)","0.0076 (0.0084)"
"GilNK4","0.0163*** (0.0049)","  "
"GilNK5","0.0260*** (0.0048)","  "
"GilNK6","0.0296*** (0.0046)","  "
"GilNK7","-0.0418*** (0.0077)","  "
"MachozMegurim2","0.0640*** (0.0067)","  "
"MachozMegurim3","0.0825*** (0.0066)","  "
"MachozMegurim4","0.0981*** (0.0060)","  "
"MachozMegurim5","0.0862*** (0.0065)","  "
"MachozMegurim6","0.0650*** (0.0070)","  "
"MachozMegurim7","0.0751*** (0.0086)","  "
"TeudaGvohaHigh School (no matriculation)","0.1427*** (0.0084)","  "
"TeudaGvohaMatriculation (Bagrut)","0.1963*** (0.0078)","  "
"TeudaGvohaPost-secondary, non-academic","0.2633*** (0.0083)","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.3147*** (0.0077)","  "
"TeudaGvohaOther/No Certificate","0.1639*** (0.0154)","  "
"Mother x Post","-0.0077 (0.0204)","-0.0098 (0.0201)"
"Mother x WFH_Exposure","-0.0654 (0.0539)","-0.0480 (0.0532)"
"Post x WFH_Exposure","-0.1756** (0.0595)","-0.1751** (0.0586)"
"Mother x Post x WFH_Exposure","-0.0089 (0.0809)","0.0009 (0.0796)"
"Mother x Post x EducationSector","0.1172*** (0.0047)","0.1106*** (0.0047)"
"Fixed-Effects:","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","Yes"
"________________________________________","___________________","___________________"
"S.E.: Clustered","by: IDPUF","by: IDPUF"
"Observations","355,984","355,984"
"R2","0.22135","0.23065"
"Within R2","--","0.07133"
