"","phase2_education$..","phase2_education$.."
" ","Excl. ISCO23: additive","Excl. ISCO23: cell FE"
"Dependent Var.:","Employed","Employed"
"  "," "," "
"Constant","0.4987*** (0.0148)","  "
"Mother","0.0013 (0.0142)","-0.0004 (0.0140)"
"Post","0.0508** (0.0164)","0.0529** (0.0161)"
"WFH_Exposure","0.1030* (0.0447)","0.0939* (0.0448)"
"MatzavMishpachti2","0.1666*** (0.0111)","0.1630*** (0.0111)"
"MatzavMishpachti3","0.0440*** (0.0057)","0.0426*** (0.0057)"
"MatzavMishpachti4","0.0271. (0.0159)","0.0230 (0.0158)"
"MatzavMishpachti5","0.0076 (0.0055)","0.0093. (0.0055)"
"Dat2","-0.0416*** (0.0097)","-0.0420*** (0.0097)"
"Dat3","-0.3995*** (0.0067)","-0.3878*** (0.0069)"
"Dat4","-0.2978*** (0.0157)","-0.2820*** (0.0158)"
"Dat5","0.0131 (0.0085)","0.0131 (0.0085)"
"GilNK4","0.0165** (0.0054)","  "
"GilNK5","0.0254*** (0.0054)","  "
"GilNK6","0.0311*** (0.0052)","  "
"GilNK7","-0.0415*** (0.0085)","  "
"MachozMegurim2","0.0749*** (0.0074)","  "
"MachozMegurim3","0.0938*** (0.0073)","  "
"MachozMegurim4","0.1126*** (0.0067)","  "
"MachozMegurim5","0.0965*** (0.0072)","  "
"MachozMegurim6","0.0716*** (0.0078)","  "
"MachozMegurim7","0.0843*** (0.0102)","  "
"TeudaGvohaHigh School (no matriculation)","0.1138*** (0.0085)","  "
"TeudaGvohaMatriculation (Bagrut)","0.1668*** (0.0079)","  "
"TeudaGvohaPost-secondary, non-academic","0.2265*** (0.0085)","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.2613*** (0.0080)","  "
"TeudaGvohaOther/No Certificate","0.1426*** (0.0152)","  "
"Mother x Post","0.0084 (0.0217)","0.0052 (0.0214)"
"Mother x WFH_Exposure","-0.0220 (0.0568)","-0.0083 (0.0563)"
"Post x WFH_Exposure","-0.2142*** (0.0629)","-0.2189*** (0.0620)"
"Mother x Post x WFH_Exposure","-0.0109 (0.0867)","0.0014 (0.0856)"
"Fixed-Effects:","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","Yes"
"________________________________________","___________________","___________________"
"S.E.: Clustered","by: IDPUF","by: IDPUF"
"Observations","311,852","311,852"
"R2","0.22655","0.23402"
"Within R2","--","0.08236"
