"Min","GilNK","TeudaGvoha","MachozMegurim","WFH_Exposure","n_cell"
1,"3","Below High School","1",0.123667666708113,115510.639677
1,"3","Below High School","2",0.0888991343804737,174828.387256
1,"3","Below High School","3",0.0964347284128036,67585.665345
1,"3","Below High School","4",0.143451441144014,102713.028399
1,"3","Below High School","5",0.121030994298557,33721.413631
1,"3","Below High School","6",0.106957084607176,71887.244359
1,"3","Below High School","7",0.233519682578245,5399.515484
1,"3","High School (no matriculation)","1",0.187982407665785,176620.532819
1,"3","High School (no matriculation)","2",0.138604577480997,324153.167125
1,"3","High School (no matriculation)","3",0.178200455011552,186730.156929
1,"3","High School (no matriculation)","4",0.173279634896981,350376.076891
1,"3","High School (no matriculation)","5",0.220340573839354,191111.265329
1,"3","High School (no matriculation)","6",0.162141079403677,231843.421592
1,"3","High School (no matriculation)","7",0.210356873410328,74445.164047
1,"3","Matriculation (Bagrut)","1",0.205310011779986,247247.746577
1,"3","Matriculation (Bagrut)","2",0.162827246311973,454262.399469
1,"3","Matriculation (Bagrut)","3",0.211670369490378,303049.834054
1,"3","Matriculation (Bagrut)","4",0.217603169752795,566423.747561
1,"3","Matriculation (Bagrut)","5",0.26220617487904,538702.302439
1,"3","Matriculation (Bagrut)","6",0.194581472795621,371986.251469
1,"3","Matriculation (Bagrut)","7",0.21754822993655,120880.675516
1,"3","Post-secondary, non-academic","1",0.219015261260418,61918.708957
1,"3","Post-secondary, non-academic","2",0.179133091435554,147330.460804
1,"3","Post-secondary, non-academic","3",0.235992646369248,102601.469104
1,"3","Post-secondary, non-academic","4",0.235841488785178,171319.35582
1,"3","Post-secondary, non-academic","5",0.287145410162499,119690.081506
1,"3","Post-secondary, non-academic","6",0.183876356267142,80658.164135
1,"3","Post-secondary, non-academic","7",0.163714915869508,29416.201099
1,"3","Academic Degree (BA/MA/PhD)","1",0.306194402547849,215085.962508
1,"3","Academic Degree (BA/MA/PhD)","2",0.231138218744419,190708.646378
1,"3","Academic Degree (BA/MA/PhD)","3",0.329359488615393,163974.818901
