"ISCO2","tele_ext"
11,0.9
12,0.891891891891892
13,0.638297872340426
14,0.772727272727273
21,0.64367816091954
22,0.101449275362319
23,0.966101694915254
24,0.942857142857143
25,1
26,0.677966101694915
31,0.143939393939394
32,0.0566037735849057
33,0.683673469387755
34,0.576923076923077
35,0.75
41,1
42,0.291666666666667
43,0.526315789473684
44,0.625
51,0.270833333333333
52,0.2
53,0.3
54,0.1
61,0.181818181818182
62,0.178571428571429
63,0
71,0.027027027027027
72,0
73,0.137931034482759
74,0
75,0.0731707317073171
81,0
82,0
83,0.236842105263158
91,0
92,0
93,0.12
94,0
95,0
96,0.25
