"occupation_code","wfh_exposure","n"
25,0.451029926156238,5146
24,0.276923076923077,3835
35,0.262276785714286,896
21,0.244893661823542,4749
26,0.232539362131611,4954
12,0.197938144329897,1455
23,0.193746381007528,8635
11,0.15874363327674,1178
34,0.15539858728557,1982
33,0.144836727316544,8299
51,0.126226734348562,2955
41,0.114109050028106,1779
44,0.111111111111111,378
13,0.109649122807018,3648
42,0.10258064516129,1550
43,0.0858725761772853,1805
31,0.0847583643122677,1345
75,0.0777777777777778,810
32,0.0727482678983834,866
73,0.0655737704918033,244
22,0.0577464788732394,3550
14,0.0560652395514781,981
52,0.0501792114695341,3348
53,0.045501704461242,6747
61,0.0372670807453416,483
74,0.0276497695852535,1302
96,0.0176991150442478,226
81,0.0140350877192982,855
82,0.0137299771167048,437
94,0.0125,240
71,0.0102933607822954,1943
91,0.00907590759075908,1212
83,0.00907563025210084,2975
54,0.0079628400796284,1507
72,0.00786275911365261,1399
93,0.00399201596806387,1002
